,Unnamed: 0,anho,ciclo,CodCarSec,Convocatoria,Anho,Semestre,Aprobado,AnhoFirma,PrimerPar,SegundoPar,AOT,Primer.Rec,SegundoRec,NotaFinal,id_anony
135253,736,2017,1,CIV-PLS13,1,2017,1,S,2017,16,29,0,0,0,1F-C-5,es_6070
135254,737,2017,1,IND-PLS13,1,2017,1,S,2016,20,25,0,0,0,1F-C-3,es_5364
135255,738,2017,1,ELE-PLS13,1,2017,1,N,0,17,6,0,0,0,,es_4465
135256,739,2017,1,ELE-PLS13,1,2017,1,S,2017,17,19,0,0,0,2F-C-3,es_4813
135257,740,2017,1,ELE-PLS13,1,2017,1,S,2017,16,24,0,0,0,1F-C-4,es_6074
135258,741,2017,1,ELE-PLS13,1,2017,1,S,2017,24,25,0,0,0,1F-C-5,es_6077
135259,742,2017,1,CIV-PLS13,1,2017,1,S,2017,21,19,0,0,0,1F-C-4,es_6080
135260,743,2017,1,ELE-PLS13,1,2017,1,S,2017,14,26,0,0,0,2F-C-3,es_5374
135261,744,2017,1,IND-PLS13,1,2017,1,N,0,16,0,0,0,0,,es_5375
135262,745,2017,1,ELE-PLS13,1,2017,1,S,2017,18,17,0,0,0,1F-C-3,es_5376
135263,746,2017,1,IND-PLS13,1,2017,1,N,0,9,0,0,0,0,,es_5377
135264,747,2017,1,CIV-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_6089
135265,748,2017,1,ELE-PLS13,1,2017,1,S,2017,24,23,0,0,0,1F-C-5,es_5380
135266,749,2017,1,ELE-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_5384
135267,750,2017,1,CIV-PLS13,1,2017,1,N,0,13,7,0,0,0,,es_5386
135268,751,2017,1,ELE-PLS13,1,2017,1,N,0,21,0,0,0,0,,es_5388
135269,752,2017,1,MCT-PLS13,1,2017,1,N,0,15,3,0,0,0,,es_5389
135270,753,2017,1,MCT-PLS13,1,2017,1,N,0,19,0,0,0,0,,es_6099
135271,754,2017,1,ELE-PLS13,1,2017,1,N,0,16,2,0,0,0,,es_5391
135272,755,2017,1,ELE-PLS13,1,2017,1,N,0,19,3,0,0,0,,es_6101
135273,756,2017,1,CIV-PLS13,1,2017,1,S,2016,20,30,0,0,0,1F-C-5,es_5396
